External Institution,COMP302,COMP360,ECSE321,ECSE324,ECSE326,ECSE427,ECSE428,FACC300,Total Distinct Courses
The University of Hong Kong (HKU),2,2,1,,,1,,3,5
Concordia University,,1,1,2,,,1,2,5
National University of Singapore,3,1,,,,1,,2,4
University of Melbourne,2,1,,,,1,,1,4
University of Ottawa,1,,1,,,,,1,3
The Hong Kong Polytechnic University,1,,,,,2,,2,3
City University of Hong Kong,,,,1,1,1,,,3
University of New South Wales (UNSW),1,,,,,,,2,2
Polytechnique Montréal,,1,1,,,,,,2
Nanyang Technological University,,1,,,,,,4,2
University of California - San Diego,1,1,,,,,,,2
The University of Dublin (Trinity College),1,,,,,,,1,2
McMaster University,,,,1,,,,1,2
King Saud University,,,,,,1,,1,2
University College London (UCL) - University of London,1,,,,,,,2,2
The University of Adelaide,,1,,,,,1,,2
University of Sydney,1,1,,,,,,,2
University of Toronto,1,2,,,,,,,2
University of Zurich,1,,,,1,,,,2
University of the Americas Puebla (UDLAP),,,1,,,,1,,2
The University of Glasgow,,1,,1,,,,,2
The University of Edinburgh,2,1,,,,,,,2
École Polytechnique Fédérale de Lausanne,2,,,,,,,2,2
University of Groningen,,1,,,,,,,1
Universite de Sherbrooke,,,,,,,,1,1
Universite de Montreal,1,,,,,,,,1
University of British Columbia (UBC) - All Campuses,,1,,,,,,,1
The University of Manchester,1,,,,,,,,1
University of Calgary,1,,,,,,,,1
University of California - Berkeley,2,,,,,,,,1
University of Copenhagen,1,,,,,,,,1
American University of Beirut,,,,,,,,1,1
University of Guelph,,,,,,,,1,1
University of International Business and Economics (UIBE),1,,,,,,,,1
University of Liverpool,1,,,,,,,,1
University of London - King's College London,1,,,,,,,,1
University of Maine,,,,,,,,1,1
University of Navarra,,,,,,,,1,1
University of New Brunswick (UNB) - All Campuses,,,,,,,,1,1
University of New Hampshire,1,,,,,,,,1
University of Southern Maine,,,,1,,,,,1
University of Washington,1,,,,,,,,1
University of Waterloo,,,,,,1,,,1
Université Laval,1,,,,,,,,1
Waseda University,1,,,,,,,,1
Yonsei University,1,,,,,,,,1
University of Maryland College Park,,1,,,,,,,1
The American University in Cairo,,,,,,,,1,1
The University of Birmingham,,,,,,,,1,1
Columbia University,,1,,,,,,,1
Loyola University of Chicago,1,,,,,,,,1
Jordan University of Science and Technology,,,,,,,,1,1
Huazhong University of Science and Technology,1,,,,,,,,1
Harvard University (ALL SCHOOLS AND COLLEGES),1,,,,,,,,1
Hanyang University,1,,,,,,,,1
East China Normal University,,1,,,,,,,1
Dalhousie University,,,,,,,,2,1
Charles University in Prague,1,,,,,,,,1
The Chinese University of Hong Kong,,,,,,1,,,1
Central China Normal University (CCNU),,1,,,,,,,1
Catholic University of Louvain,1,,,,,,,,1
Catholic University of Leuven,,,,,,,,1,1
Carleton University,,,,,,,,1,1
Beijing Normal University,,1,,,,,,,1
Athabasca University,,1,,,,,,,1
Arizona State University,1,,,,,,,,1
Lund University (LU),1,,,,,,,,1
Monterrey Institute of Technology and Higher Education,,,,,,,,2,1
Munich University of Technology,,1,,,,,,,1
Nanchang University,,1,,,,,,,1
Amsterdam University College,,1,,,,,,,1
Technion-Israel Institute of Technology,,,,,,,,1,1
Technical University of Denmark,,,,,,,,3,1
Technical University of Catalonia,,,,,,,,1,1
Stony Brook University,,,,,,,,1,1
State University of New York at Binghamton,,,,,,,,1,1
Simon Fraser University,,1,,,,,,,1
Shanghai Jiao Tong University,,,,,,1,,,1
Seoul National University,,1,,,,,,,1
Queen's University,,,,,,,,1,1
Peking University,1,,,,,,,,1
Oregon State University,,,,,,,,1,1
National Yunlin University of Science and Technology,,,,,,,,1,1
National Autonomous University of Mexico,,1,,,,,,,1
Nankai University,,1,,,,,,,1
École de Technologie Supérieure (ETS),,,,,,,,1,1
